x= 320, y= 88, width= 16, height= 8
x= 336, y= 80, width= 4, height= 4
x= 336, y= 84, width= 4, height= 4
x= 336, y= 88, width= 4, height= 8
x= 340, y= 80, width= 8, height= 8
x= 340, y= 88, width= 8, height= 8
x= 348, y= 80, width= 4, height= 16
x= 320, y= 96, width= 4, height= 8
x= 324, y= 96, width= 4, height= 8
x= 328, y= 96, width= 8, height= 8
x= 320, y= 104, width= 4, height= 4
x= 320, y= 108, width= 4, height= 4
x= 324, y= 104, width= 4, height= 4
x= 324, y= 108, width= 4, height= 4
x= 328, y= 104, width= 4, height= 8
x= 332, y= 104, width= 4, height= 8
x= 336, y= 96, width= 8, height= 16
x= 344, y= 96, width= 8, height= 16
x= 320, y= 112, width= 4, height= 8
x= 324, y= 112, width= 4, height= 8
x= 320, y= 120, width= 8, height= 8
x= 328, y= 112, width= 4, height= 16
x= 332, y= 112, width= 4, height= 16
x= 336, y= 112, width= 4, height= 8
x= 340, y= 112, width= 4, height= 8
x= 336, y= 120, width= 8, height= 4
x= 336, y= 124, width= 8, height= 4
x= 344, y= 112, width= 4, height= 16
x= 348, y= 112, width= 4, height= 16
x= 0, y= 128, width= 16, height= 16
x= 16, y= 128, width= 8, height= 8
x= 24, y= 128, width= 8, height= 8
x= 16, y= 136, width= 16, height= 8
x= 0, y= 144, width= 8, height= 4
x= 0, y= 148, width= 8, height= 4
x= 0, y= 152, width= 8, height= 8
x= 8, y= 144, width= 8, height= 4
x= 8, y= 148, width= 8, height= 4
x= 8, y= 152, width= 8, height= 4
x= 8, y= 156, width= 8, height= 4
x= 16, y= 144, width= 4, height= 16
x= 20, y= 144, width= 8, height= 8
x= 20, y= 152, width= 8, height= 4
x= 20, y= 156, width= 8, height= 4
x= 28, y= 144, width= 4, height= 4
x= 28, y= 148, width= 4, height= 8
x= 28, y= 156, width= 4, height= 4
x= 32, y= 128, width= 32, height= 8
x= 32, y= 136, width= 4, height= 16
x= 36, y= 136, width= 8, height= 16
x= 44, y= 136, width= 4, height= 16
x= 48, y= 136, width= 8, height= 16
x= 56, y= 136, width= 8, height= 16
x= 32, y= 152, width= 8, height= 4
x= 32, y= 156, width= 8, height= 4
x= 40, y= 152, width= 16, height= 8
x= 56, y= 152, width= 8, height= 8
x= 0, y= 160, width= 8, height= 8
x= 0, y= 168, width= 4, height= 16
x= 4, y= 168, width= 4, height= 16
x= 0, y= 184, width= 8, height= 8
x= 8, y= 160, width= 16, height= 16
x= 8, y= 176, width= 4, height= 16
x= 12, y= 176, width= 8, height= 16
x= 20, y= 176, width= 4, height= 16
x= 24, y= 160, width= 8, height= 16
x= 24, y= 176, width= 8, height= 16
x= 32, y= 160, width= 8, height= 16
x= 40, y= 160, width= 4, height= 16
x= 44, y= 160, width= 4, height= 4
x= 44, y= 164, width= 4, height= 8
x= 44, y= 172, width= 4, height= 4
x= 48, y= 160, width= 8, height= 4
x= 48, y= 164, width= 4, height= 4
x= 52, y= 164, width= 4, height= 4
x= 56, y= 160, width= 8, height= 4
x= 56, y= 164, width= 8, height= 4
x= 48, y= 168, width= 4, height= 8
x= 52, y= 168, width= 4, height= 8
x= 56, y= 168, width= 4, height= 4
x= 56, y= 172, width= 4, height= 4
x= 60, y= 168, width= 4, height= 4
x= 60, y= 172, width= 4, height= 4
x= 32, y= 176, width= 16, height= 16
x= 48, y= 176, width= 8, height= 16
x= 56, y= 176, width= 8, height= 16
x= 64, y= 128, width= 4, height= 4
x= 64, y= 132, width= 4, height= 8
x= 64, y= 140, width= 4, height= 4
x= 68, y= 128, width= 4, height= 4
x= 68, y= 132, width= 4, height= 8
x= 68, y= 140, width= 4, height= 4
x= 72, y= 128, width= 8, height= 8
x= 72, y= 136, width= 8, height= 4
x= 72, y= 140, width= 8, height= 4
x= 80, y= 128, width= 8, height= 4
x= 88, y= 128, width= 8, height= 4
x= 80, y= 132, width= 8, height= 4
x= 88, y= 132, width= 8, height= 4
x= 80, y= 136, width= 16, height= 8
x= 64, y= 144, width= 16, height= 16
x= 80, y= 144, width= 16, height= 16
x= 96, y= 128, width= 4, height= 8
x= 100, y= 128, width= 4, height= 8
x= 104, y= 128, width= 8, height= 8
x= 96, y= 136, width= 4, height= 8
x= 100, y= 136, width= 8, height= 4
x= 100, y= 140, width= 8, height= 4
x= 108, y= 136, width= 4, height= 8
x= 112, y= 128, width= 16, height= 8
x= 112, y= 136, width= 16, height= 8
x= 96, y= 144, width= 8, height= 16
x= 104, y= 144, width= 8, height= 16
x= 112, y= 144, width= 4, height= 16
x= 116, y= 144, width= 8, height= 16
x= 124, y= 144, width= 4, height= 16
x= 64, y= 160, width= 32, height= 16
x= 64, y= 176, width= 16, height= 4
x= 64, y= 180, width= 16, height= 8
x= 64, y= 188, width= 16, height= 4
x= 80, y= 176, width= 16, height= 16
x= 96, y= 160, width= 8, height= 32
x= 104, y= 160, width= 8, height= 8
x= 104, y= 168, width= 8, height= 16
x= 104, y= 184, width= 8, height= 8
x= 112, y= 160, width= 4, height= 16
x= 112, y= 176, width= 4, height= 16
x= 116, y= 160, width= 8, height= 32
x= 124, y= 160, width= 4, height= 32
x= 0, y= 192, width= 8, height= 32
x= 8, y= 192, width= 16, height= 8
x= 8, y= 200, width= 4, height= 16
x= 12, y= 200, width= 8, height= 16
x= 20, y= 200, width= 4, height= 16
x= 8, y= 216, width= 16, height= 8
x= 24, y= 192, width= 8, height= 32
x= 32, y= 192, width= 16, height= 16
x= 48, y= 192, width= 16, height= 16
x= 32, y= 208, width= 16, height= 16
x= 48, y= 208, width= 16, height= 16
x= 0, y= 224, width= 4, height= 32
x= 4, y= 224, width= 8, height= 32
x= 12, y= 224, width= 4, height= 32
x= 16, y= 224, width= 4, height= 16
x= 20, y= 224, width= 8, height= 16
x= 28, y= 224, width= 4, height= 16
